title,price,image_url,details_url,fuel,year,horsepower,mileage,date,city
MERCEDES Classe E,35.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/6570d24ac143f.jpg,https://www.wandaloo.com/occasion/mercedes-classe-e-diesel-occasion-sale-maroc/38801.html,Diesel,1998,10 cv,1.000 km,6 décembre 2023,Salé
VOLKSWAGEN Tiguan,173.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/volkswagen-tiguan-diesel-occasion-kenitra-maroc/38799.html,Diesel,2014,8 cv,157.000 km,6 décembre 2023,Kénitra
VOLVO XC60,330.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/volvo-xc60-diesel-occasion-casablanca-maroc/38800.html,Diesel,2019,8 cv,65.000 km,6 décembre 2023,Casablanca
VOLKSWAGEN Passat,190.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/656dffc2062b8.jpg,https://www.wandaloo.com/occasion/volkswagen-passat-diesel-occasion-casablanca-maroc/38766.html,Diesel,2018,8 cv,105.000 km,6 décembre 2023,Casablanca
AUDI A6,280.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/6570680b73a8c.jpg,https://www.wandaloo.com/occasion/audi-a6-diesel-occasion-agadir-maroc/38798.html,Diesel,2018,8 cv,73.000 km,6 décembre 2023,Agadir
CHERY Tiggo 2 Pro,155.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65703b30abfc4.jpg,https://www.wandaloo.com/occasion/chery-tiggo-2-pro-essence-occasion-casablanca-maroc/38668.html,Essence,2023,7 cv,4.500 km,6 décembre 2023,Casablanca
HYUNDAI Elantra,159.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/65705dc13cef4.jpg,https://www.wandaloo.com/occasion/hyundai-elantra-diesel-occasion-sale-maroc/38797.html,Diesel,2020,6 cv,80.100 km,6 décembre 2023,Salé
RENAULT Scénic,109.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/654269dfbdd2a.jpg,https://www.wandaloo.com/occasion/renault-scenic-diesel-occasion-casablanca-maroc/38630.html,Diesel,2014,6 cv,169.000 km,6 décembre 2023,Casablanca
TOYOTA RAV 4,285.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/03/6418587e4d049.jpg,https://www.wandaloo.com/occasion/toyota-rav-4-hybride-occasion-casablanca-maroc/37673.html,Hybride,2020,14 cv,115.000 km,6 décembre 2023,Casablanca
VOLKSWAGEN CC,190.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/volkswagen-cc-diesel-occasion-sale-maroc/38796.html,Diesel,2017,8 cv,195.000 km,6 décembre 2023,Salé
PEUGEOT 208,120.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656e3fe5862ae.jpg,https://www.wandaloo.com/occasion/peugeot-208-diesel-occasion-casablanca-maroc/38787.html,Diesel,2018,6 cv,51.100 km,4 décembre 2023,Casablanca
FORD Kuga,122.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656f05a05006e.jpg,https://www.wandaloo.com/occasion/ford-kuga-diesel-occasion-rabat-maroc/38790.html,Diesel,2011,8 cv,160.000 km,5 décembre 2023,Rabat
VOLKSWAGEN Passat,77.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656f0d5f421cd.jpg,https://www.wandaloo.com/occasion/volkswagen-passat-diesel-occasion-casablanca-maroc/38791.html,Diesel,2005,8 cv,192.700 km,5 décembre 2023,Casablanca
